Filename,True Label,Predicted Label
mask\maksssksksss100_0.jpg,Mask,Mask
mask\maksssksksss103_0.jpg,Mask,Mask
mask\maksssksksss104_2.jpg,Mask,No Mask
mask\maksssksksss107_0.jpg,Mask,Mask
mask\maksssksksss109_0.jpg,Mask,Mask
mask\maksssksksss10_0.jpg,Mask,Mask
mask\maksssksksss110_9.jpg,Mask,No Mask
mask\maksssksksss111_0.jpg,Mask,No Mask
mask\maksssksksss114_0.jpg,Mask,Mask
mask\maksssksksss114_1.jpg,Mask,Mask
mask\maksssksksss115_1.jpg,Mask,No Mask
mask\maksssksksss116_0.jpg,Mask,Mask
mask\maksssksksss117_0.jpg,Mask,Mask
mask\maksssksksss11_0.jpg,Mask,Mask
mask\maksssksksss11_1.jpg,Mask,Mask
mask\maksssksksss11_2.jpg,Mask,Mask
mask\maksssksksss11_3.jpg,Mask,No Mask
mask\maksssksksss120_0.jpg,Mask,Mask
mask\maksssksksss122_0.jpg,Mask,Mask
mask\maksssksksss123_0.jpg,Mask,Mask
mask\maksssksksss123_1.jpg,Mask,Mask
mask\maksssksksss124_0.jpg,Mask,Mask
mask\maksssksksss124_2.jpg,Mask,Mask
mask\maksssksksss126_0.jpg,Mask,Mask
mask\maksssksksss129_0.jpg,Mask,No Mask
mask\maksssksksss132_0.jpg,Mask,Mask
mask\maksssksksss133_0.jpg,Mask,Mask
mask\maksssksksss134_2.jpg,Mask,No Mask
mask\maksssksksss135_0.jpg,Mask,Mask
mask\maksssksksss135_1.jpg,Mask,Mask
mask\maksssksksss138_0.jpg,Mask,Mask
mask\maksssksksss138_2.jpg,Mask,Mask
mask\maksssksksss139_0.jpg,Mask,No Mask
mask\maksssksksss140_0.jpg,Mask,Mask
mask\maksssksksss140_1.jpg,Mask,Mask
mask\maksssksksss141_0.jpg,Mask,Mask
mask\maksssksksss142_0.jpg,Mask,Mask
mask\maksssksksss143_0.jpg,Mask,Mask
mask\maksssksksss146_0.jpg,Mask,Mask
mask\maksssksksss146_1.jpg,Mask,Mask
mask\maksssksksss148_2.jpg,Mask,Mask
mask\maksssksksss150_0.jpg,Mask,Mask
mask\maksssksksss155_0.jpg,Mask,Mask
mask\maksssksksss15_0.jpg,Mask,Mask
mask\maksssksksss160_0.jpg,Mask,Mask
mask\maksssksksss162_0.jpg,Mask,Mask
mask\maksssksksss165_0.jpg,Mask,Mask
mask\maksssksksss165_1.jpg,Mask,Mask
mask\maksssksksss167_0.jpg,Mask,Mask
mask\maksssksksss168_0.jpg,Mask,Mask
mask\maksssksksss169_0.jpg,Mask,Mask
mask\maksssksksss16_0.jpg,Mask,Mask
mask\maksssksksss171_0.jpg,Mask,Mask
mask\maksssksksss173_0.jpg,Mask,No Mask
mask\maksssksksss174_0.jpg,Mask,Mask
mask\maksssksksss174_1.jpg,Mask,Mask
mask\maksssksksss174_2.jpg,Mask,No Mask
mask\maksssksksss174_3.jpg,Mask,No Mask
mask\maksssksksss175_0.jpg,Mask,Mask
mask\maksssksksss177_0.jpg,Mask,No Mask
mask\maksssksksss17_0.jpg,Mask,Mask
mask\maksssksksss180_0.jpg,Mask,Mask
mask\maksssksksss182_0.jpg,Mask,Mask
mask\maksssksksss182_1.jpg,Mask,No Mask
mask\maksssksksss183_0.jpg,Mask,Mask
mask\maksssksksss184_1.jpg,Mask,No Mask
mask\maksssksksss184_2.jpg,Mask,No Mask
mask\maksssksksss186_0.jpg,Mask,Mask
mask\maksssksksss187_0.jpg,Mask,Mask
mask\maksssksksss188_0.jpg,Mask,Mask
mask\maksssksksss189_1.jpg,Mask,Mask
mask\maksssksksss18_0.jpg,Mask,No Mask
mask\maksssksksss18_1.jpg,Mask,Mask
mask\maksssksksss190_0.jpg,Mask,Mask
mask\maksssksksss191_0.jpg,Mask,Mask
mask\maksssksksss192_0.jpg,Mask,Mask
mask\maksssksksss193_0.jpg,Mask,Mask
mask\maksssksksss193_1.jpg,Mask,Mask
mask\maksssksksss195_0.jpg,Mask,Mask
mask\maksssksksss196_0.jpg,Mask,Mask
mask\maksssksksss197_0.jpg,Mask,No Mask
mask\maksssksksss198_0.jpg,Mask,Mask
mask\maksssksksss19_1.jpg,Mask,Mask
mask\maksssksksss19_2.jpg,Mask,Mask
